cust_id,Outgoing,Incoming,Missed,Blank,Status
101,0.374233129,0.343558282,0.09202454,0.190184049,GOOD
103,0.726618705,0.14028777,0.133093525,0,GOOD
104,0.422222222,0.408888889,0.115555556,0.053333333,GOOD
105,0.504854369,0.13592233,0.300970874,0.058252427,GOOD
116,0.005494505,0.018838305,0.132653061,0.843014129,GOOD
119,0.649,0.22,0.117,0.014,GOOD
120,0.576,0.2725,0.1515,0,GOOD
121,0.069767442,0.406976744,0.38372093,0.139534884,GOOD
122,0,0,0,1,GOOD
126,0.667334669,0.196392786,0.104208417,0.032064128,GOOD
128,0.478848785,0.447648111,0.073503104,0,GOOD
131,0.116335434,0.070285991,0.157537567,0.655841008,GOOD
132,0.676,0.24,0.056,0.028,GOOD
134,0.67721519,0.181434599,0.141350211,0,GOOD
138,0.589803399,0.261912696,0.105964678,0.042319227,GOOD
140,0.349442379,0.185873606,0.167286245,0.29739777,GOOD
144,0.794326241,0.14893617,0.056737589,0,BAD
145,0.492,0.214,0.294,0,GOOD
146,0.534810127,0.367088608,0.098101266,0,BAD
147,0.309734513,0.433628319,0.256637168,0,GOOD
148,0.744,0.15,0.09,0.016,GOOD
150,0.58,0.266,0.154,0,BAD
152,0.613821138,0.227642276,0.06097561,0.097560976,GOOD
163,0.0625,0.359375,0.53125,0.046875,GOOD
164,0.384615385,0.276923077,0.172307692,0.166153846,GOOD
165,0.468090788,0.276635514,0.177303071,0.077970628,GOOD
166,0.566191446,0.3401222,0.093686354,0,GOOD
167,0.402027369,0.418449062,0.179523568,0,GOOD
168,0.388,0.22,0.336,0.056,GOOD
170,0.811743451,0.119421861,0.066666667,0.002168022,GOOD
172,0.582,0.266,0.112,0.04,GOOD
173,0.579741807,0.217477656,0.086196624,0.116583913,GOOD
175,0.7721598,0.086142322,0.071161049,0.070536829,GOOD
177,0.4,0.465853659,0.12195122,0.012195122,BAD
178,0.410358566,0.288844622,0.282868526,0.017928287,BAD
181,0.266,0.438,0.296,0,BAD
182,0.603850051,0.211752786,0.184397163,0,BAD
183,0.569767442,0.238372093,0.191860465,0,BAD
190,0.652,0.156,0.18,0.012,GOOD
191,0.502248876,0.226886557,0.128435782,0.142428786,GOOD
192,0.615647059,0.185058824,0.099529412,0.099764706,GOOD
193,0.528795812,0.193717277,0.209424084,0.068062827,BAD
195,0.753968254,0.119047619,0.015873016,0.111111111,BAD
198,0,0,1,0,BAD
199,0.634,0.34,0.026,0,GOOD
200,0.086956522,0.652173913,0.260869565,0,BAD
202,0.67173475,0.2364902,0.09177505,0,BAD
203,0.571428571,0.25,0.071428571,0.107142857,BAD
204,0.608,0.148,0.184,0.06,BAD
205,0.518,0.378,0.104,0,BAD
207,0.522,0.232,0.198,0.048,BAD
209,0.25,0.5,0.25,0,GOOD
210,0.658057055,0.159599075,0.137625289,0.044718581,GOOD
211,0.622718053,0.129817444,0.192697769,0.054766734,BAD
213,1,0,0,0,BAD
214,0.5,0.296,0.204,0,BAD
216,0.77018012,0.100066711,0.122081388,0.007671781,GOOD
217,0.883482714,0.04993598,0.04737516,0.019206146,BAD
218,0.884615385,0.05,0.047435897,0.017948718,BAD
224,1,0,0,0,BAD
